,team1,team2,possession_team1,possession team2,number_of_goals_team1,number_of_goals_team2,date,hour,category,total_attempts_team1,total_attempts_team2,conceded_team1,conceded_team2,on_target_attempts_team1,on_target_attempts_team2,off_target_attempts_team1,off_target_attempts_team2,attempted_defensive_line_breaks_team1,attempted_defensive_line_breaks_team2,completed_defensive_line_breaks_team1,completed_defensive_line_breaks_team2,yellow_cards_team1,yellow_cards_team2,red_cards_team1,red_cards_team2,fouls_against_team1,fouls_against_team2,offsides_team1,offsides_team2,passes_team1,passes_team2,passes_completed_team1,passes_completed_team2,corners_team1,corners_team2,free_kicks_team1,free_kicks_team2,penalties_scored_team1,penalties_scored_team2,goal_preventions_team1,goal_preventions_team2,own_goals_team1,own_goals_team2
44,GHANA,URUGUAY,46%,39%,0,2,2022-12-02,0 days 04:00:00,Group H,9,12,2,0,4,7,4,5,13,24,5,14,2,5,0,0,18,11,2,2,460,446,377,361,5,2,12,20,0,0,12,9,0,0
45,KOREA REPUBLIC,PORTUGAL,34%,55%,2,1,2022-12-02,0 days 04:00:00,Group H,12,12,1,2,6,4,4,6,11,21,6,12,2,0,0,0,9,11,1,5,359,606,304,541,5,4,15,10,0,0,14,12,0,0
46,SERBIA,SWITZERLAND,45%,41%,2,3,2022-12-02,0 days 08:00:00,Group G,11,14,3,2,4,7,6,3,10,20,5,8,7,4,0,0,18,13,0,0,476,403,390,325,2,0,14,18,0,0,14,10,0,0
47,CAMEROON,BRAZIL,31%,56%,1,0,2022-12-02,0 days 08:00:00,Group G,7,19,0,1,3,6,3,11,16,15,7,9,5,2,1,0,14,14,0,1,295,548,239,491,3,11,15,14,0,0,20,7,0,0
48,NETHERLANDS,UNITED STATES,33%,54%,3,1,2022-12-03,0 days 04:00:00,Round of 16,11,18,1,3,6,7,4,4,17,28,7,17,2,0,0,0,10,5,0,3,396,567,320,487,4,5,8,10,0,0,18,13,0,0
49,ARGENTINA,AUSTRALIA,53%,35%,2,1,2022-12-03,0 days 08:00:00,Round of 16,14,5,1,2,5,2,7,2,16,12,8,7,0,2,0,0,8,15,4,0,711,450,635,381,1,3,15,11,0,0,5,14,1,0
50,FRANCE,POLAND,48%,42%,3,1,2022-12-04,0 days 04:00:00,Round of 16,16,11,1,3,7,3,7,5,26,20,14,12,1,2,0,0,10,8,3,1,540,466,481,391,7,1,8,11,0,1,11,16,0,0
51,ENGLAND,SENEGAL,54%,35%,3,0,2022-12-04,0 days 08:00:00,Round of 16,8,10,0,3,4,2,4,6,16,15,12,7,0,1,0,0,16,12,0,0,597,393,523,320,3,3,12,16,0,0,10,8,0,0
52,JAPAN,CROATIA,35%,51%,1,1,2022-12-05,0 days 04:00:00,Round of 16,12,16,1,1,4,4,4,8,21,20,8,11,0,2,0,0,13,16,3,0,532,735,414,624,8,5,16,16,0,0,18,11,0,0
53,BRAZIL,KOREA REPUBLIC,47%,44%,4,1,2022-12-05,0 days 08:00:00,Round of 16,18,10,1,4,9,6,8,2,21,20,17,14,0,1,0,0,8,13,0,5,616,548,556,486,5,4,16,8,1,0,10,18,0,0
54,MOROCCO,SPAIN,22%,68%,0,0,2022-12-06,0 days 04:00:00,Round of 16,6,13,0,0,3,1,3,6,22,37,9,25,1,1,0,0,15,14,5,4,323,1041,229,967,0,8,18,20,0,0,14,6,0,0
55,PORTUGAL,SWITZERLAND,43%,48%,6,1,2022-12-06,0 days 08:00:00,Round of 16,14,10,1,6,9,1,2,7,16,17,8,7,0,2,0,0,12,10,3,3,461,512,392,436,6,6,13,15,0,0,10,15,0,0
56,CROATIA,BRAZIL,45%,45%,1,1,2022-12-09,0 days 04:00:00,Quarter-final,9,20,1,1,1,11,4,4,16,19,10,10,2,3,0,0,22,24,3,3,715,695,632,625,3,7,27,25,0,0,21,9,0,0
57,NETHERLANDS,ARGENTINA,45%,44%,2,2,2022-12-09,0 days 08:00:00,Quarter-final,5,15,2,2,2,6,2,8,15,24,6,8,8,8,1,0,30,18,1,2,651,603,557,511,2,8,20,30,0,1,15,5,0,0
58,MOROCCO,PORTUGAL,22%,65%,1,0,2022-12-10,0 days 04:00:00,Quarter-final,9,11,0,1,3,3,6,6,13,23,3,18,3,1,1,0,15,9,2,2,229,678,171,592,3,9,11,17,0,0,11,10,0,0
59,ENGLAND,FRANCE,54%,36%,1,2,2022-12-10,0 days 08:00:00,Quarter-final,14,9,2,1,6,5,4,3,13,14,10,8,1,3,0,0,10,14,1,2,508,369,453,310,5,2,14,11,1,0,9,15,0,0
60,ARGENTINA,CROATIA,34%,54%,3,0,2022-12-13,0 days 08:00:00,Semi-final,10,12,0,3,7,3,2,7,17,9,7,1,2,2,0,0,15,8,1,0,408,624,344,551,2,4,6,16,1,0,12,10,0,0
61,FRANCE,MOROCCO,34%,55%,2,0,2022-12-14,0 days 08:00:00,Semi-final,14,13,0,2,2,1,8,6,12,18,8,11,0,1,0,0,11,11,4,3,358,583,307,518,2,3,13,15,0,0,13,14,0,0
62,CROATIA,MOROCCO,45%,45%,2,1,2022-12-17,0 days 04:00:00,Play-off for third place,14,7,1,2,4,2,8,5,23,14,12,8,0,2,0,0,13,11,2,2,491,494,430,428,6,3,13,15,0,0,7,14,0,0
63,ARGENTINA,FRANCE,46%,40%,3,3,2022-12-18,0 days 04:00:00,Final,21,10,3,3,9,5,9,3,38,14,23,9,4,3,0,0,26,19,4,4,648,516,544,419,6,5,22,28,1,2,11,21,0,0
